Metabolite	KEGG	GWEIGHT	GLU 0.058	GLU 0.108	GLU 0.161	GLU 0.238	GLU 0.311	NH4 0.055	NH4 0.105	NH4 0.173	NH4 0.21	NH4 0.29	PO4 0.056	PO4 0.113	PO4 0.16	PO4 0.223	PO4 0.3	LEU 0.058	LEU 0.11	LEU 0.16	LEU 0.22	LEU 0.286	URA 0.056	URA 0.11	URA 0.15	URA 0.22	URA 0.31
EWEIGHT			1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"1,3-bisphospho-D-glycerate"	C00236	1	-0.181714923	-0.078160309	-0.062271011	-0.43775977	1.444921121	-0.492052353	-0.055488188	0.270276958	0.224125509	1.660011432	-1.523012972	-0.846333781	-0.543944328	0.456152707	1.062594125	-0.557968656	-0.677418933	-0.444085973	0.147888843	0.45280376	-0.425955525	-0.302218932	-0.03725845	0.367242261	0.57962739
3-hydroxy-3-methylglutaryl-CoA	C00356	1	-0.155873268	0.765489962	0.708981344	0.366382994	-0.155873268	-0.941558695	-0.459393801	-0.352706991	-0.746645908	-0.383092695	-0.155873268	-0.155873268	-0.155873268	-0.155873268	-0.155873268	0.047987455	0.301229236	0.550703402	0.279425187	-0.155873268	0.640573498	0.468624036	0.778843606	0.163702205	-0.941558695
3-phospho-D-glycerate	C00197	1	2.657516282	2.462741576	2.759435642	1.607893297	1.207242377	1.477020301	3.277941746	1.86090471	1.677801701	1.074509082	-3.135942288	-2.656004295	-2.785125536	-0.985537934	-1.560575787	-0.283063354	-0.636247971	-1.247772463	0.002264829	-0.289441476	-2.134688634	-2.430720328	-1.064832192	-0.132045675	-0.723273611
6-phospho-D-gluconate	C00345	1	0.426737573	1.186406499	1.713938719	1.9271898	0.415145049	-0.646412212	-1.134664224	0.204728992	0.308570151	-0.262717897	-4.460256989	-1.76318803	-0.886767101	1.001632003	0.805970666	-0.3234758	0.287049072	0.452184288	0.086334366	0.56553227	-0.946244145	-0.534238993	0.127097992	0.619355457	0.830092494
acetyl-CoA	C00024	1	-1.166839902	-0.055691276	0.076553835	0.005827798	-0.475984411	-0.66586951	-0.730537831	-0.112969395	-0.150568497	-0.7156923	-1.04103603	-0.076214445	0.341870932	0.057649434	-0.314635804	0.58281327	0.77046128	0.182356549	0.766571131	0.945833134	0.501164977	0.517382302	1.04402228	-0.088919372	-0.197548148
aconitate	C02341	1	-1.464615872	-0.926816989	-1.242559262	-0.924791763	-2.394715626	1.826353568	0.673360806	1.687115061	1.868307778	2.894230862	0.769110993	0.324660706	-0.351844776	-0.472444612	-0.825912203	-0.360593034	-0.698527402	-1.420826608	-1.62464716	-1.494411037	0.438976369	0.349125439	0.619581597	1.11600142	1.635881746
adenosine	C00212	1	-2.046925941	-1.588694951	-2.046925941	-1.185043687	-2.046925941	-0.746074901	-1.046219381	-1.116834477	-0.921670168	-1.1014233	4.717551716	3.697433035	3.242782154	1.621632285	1.617165864	2.137543787	0.218579701	-0.74862485	-0.851363969	-1.645271766	0.938954826	0.301512361	0.058066146	-0.710548217	-0.748674382
ADP	C00008	1	-0.046457011	0.087309681	0.050690384	0.477443082	-0.627692223	-0.350099078	0.109279342	0.04323323	0.544756289	-0.4180702	-0.6317683	-0.247020059	0.09601832	0.372631082	0.274816017	0.060709759	0.508086258	0.487869695	0.504180532	0.509037122	-0.674453312	-0.265407322	0.044744351	-0.578714715	-0.331122925
a-ketoglutarate	C00026	1	-0.653626766	0.032786425	0.748436805	1.119384431	-0.316071073	2.470759261	2.14892095	2.240170386	1.899559339	-0.086640976	0.66484458	0.849960254	0.534577269	0.095301895	-0.443139684	1.81180699	0.852452973	-0.337032068	-1.447629957	-1.644207555	-1.661209814	-2.412763108	-2.550272263	-2.238016529	-1.678351763
alanine	C00041	1	-0.956208168	-1.619041331	-1.230106218	-1.350599115	-1.164265203	-1.500393085	-1.870001647	-0.963015221	-0.206938595	0.682812708	-0.221087884	-0.232501183	-0.607838799	0.551062893	-0.935881002	2.101852699	2.07597613	1.982389803	1.771951264	0.986891075	1.118276957	0.591437505	0.675492723	0.294572183	0.02516151
AMP	C00020	1	0.560103369	0.78266564	0.151088518	-0.446306479	-1.608729488	-0.802665387	0.443830882	0.264397982	1.1291675	-0.558672567	0.18094491	0.132234738	0.336583247	0.008427327	-0.399594792	0.38101607	0.519408387	0.206601276	0.283096537	-0.439404722	-0.495867187	0.854107457	-0.164343558	-0.533038717	-0.785050943
